start_node,end_node,distance_m,slope_type,stairs_count,crosswalk,sidewalk_width,confidence,remarks,curb
N001,N002,80.0,평지,0,0,넓음,직접조사,정문 입구,0
N002,N003,60.0,평지,0,1,보통,직접조사,횡단보도 진입,0
N003,N004,50.0,오르막,0,0,보통,직접조사,약간 오르막,0
N004,N005,40.0,평지,0,0,넓음,직접조사,본관 진입,0
N001,N021,90.0,평지,0,0,넓음,직접조사,복지관 우회로,1
N021,N004,70.0,평지,0,0,보통,가상데이터,,0
N005,N006,35.0,평지,0,0,보통,직접조사,본관 뒤편,0
N006,N007,45.0,오르막,8,0,좁음,직접조사,★ 중턱 계단 (8칸),1
N007,N008,30.0,오르막,0,0,보통,직접조사,강의동 진입,0
N005,N010,80.0,평지,0,0,넓음,직접조사,★ 엘리베이터 경로 (평지),0
N010,N008,60.0,평지,0,0,넓음,직접조사,엘리베이터→강의동,0
N006,N024,50.0,오르막,3,0,좁음,가상데이터,행정동 오르막,0
N024,N022,70.0,오르막,0,0,보통,가상데이터,연구동 연결,1
N008,N011,55.0,평지,0,0,보통,직접조사,제2강의동,0
N008,N022,65.0,평지,0,0,넓음,가상데이터,연구동 경로,0
N009,N011,40.0,평지,0,0,보통,직접조사,,0
N011,N012,70.0,평지,0,1,보통,직접조사,횡단보도B,0
N012,N013,45.0,오르막,0,0,보통,직접조사,도서관 접근,0
N013,N014,30.0,평지,0,0,넓음,직접조사,도서관 입구,0
N010,N022,55.0,평지,0,0,보통,가상데이터,,0
N022,N013,60.0,평지,0,0,보통,가상데이터,,0
N014,N015,40.0,오르막,12,0,좁음,직접조사,★ 큰 계단 (12칸),1
N015,N016,35.0,내리막,0,0,보통,직접조사,체육관 내려옴,0
N014,N017,65.0,평지,0,1,넓음,직접조사,★ 횡단보도 우회 (평지),0
N017,N016,50.0,평지,0,0,보통,가상데이터,,0
N016,N018,45.0,오르막,5,0,좁음,직접조사,★ 계단 (5칸),0
N018,N019,50.0,오르막,0,0,보통,직접조사,버스승강장,0
N019,N020,40.0,평지,0,0,넓음,직접조사,후문,0
N016,N025,80.0,평지,0,0,넓음,가상데이터,★ 우회로: 북쪽게이트,0
N025,N020,70.0,평지,0,0,넓음,직접조사,북쪽게이트→후문,0
N017,N023,40.0,평지,0,1,보통,직접조사,,0
N023,N019,55.0,평지,0,0,보통,가상데이터,,0
N002,N004,120.0,오르막,0,0,좁음,사용자 신고,가파른 오르막,1
N004,N008,100.0,오르막,5,0,좁음,사용자 신고,★ 계단+오르막,1
N008,N011,55.0,평지,0,0,보통,직접조사,,0
N011,N014,80.0,오르막,3,0,좁음,가상데이터,,0
N014,N018,90.0,오르막,0,0,좁음,가상데이터,좁고 턱있음,1
N018,N020,90.0,평지,0,0,보통,직접조사,,0
N003,N021,80.0,평지,0,0,보통,가상데이터,,0
N009,N022,60.0,평지,0,0,보통,가상데이터,,0
N012,N023,50.0,평지,0,1,보통,직접조사,,0
N024,N010,45.0,평지,0,0,보통,가상데이터,,0
N007,N010,50.0,평지,0,0,보통,직접조사,,0
N009,N016,100.0,평지,0,0,넓음,가상데이터,,0
N021,N024,55.0,평지,0,0,보통,가상데이터,,0
