node_id,name,type,latitude,longitude
N001,정문,건물 입구,37.561,126.976
N002,정문 삼거리,교차로,37.5615,126.9765
N003,횡단보도A,횡단보도,37.562,126.977
N004,본관 앞,건물 입구,37.5625,126.9775
N005,본관,건물 입구,37.563,126.978
N006,본관 후문,건물 입구,37.5635,126.9785
N007,중턱 오르막,계단,37.564,126.978
N008,제1강의동,건물 입구,37.5645,126.9775
N009,제1강의동 후문,건물 입구,37.565,126.977
N010,엘리베이터동,엘리베이터,37.5642,126.979
N011,제2강의동,건물 입구,37.5655,126.978
N012,횡단보도B,횡단보도,37.566,126.9785
N013,도서관 앞,건물 입구,37.5665,126.979
N014,도서관,건물 입구,37.567,126.9795
N015,계단 오르막,계단,37.5675,126.979
N016,체육관,건물 입구,37.568,126.9785
N017,횡단보도C,횡단보도,37.5678,126.98
N018,학생회관,건물 입구,37.5685,126.9795
N019,버스 승강장,버스정류장,37.569,126.98
N020,후문,건물 입구,37.5695,126.9805
N021,복지관,건물 입구,37.563,126.9795
N022,연구동,건물 입구,37.565,126.9795
N023,횡단보도D,횡단보도,37.566,126.98
N024,행정동,건물 입구,37.564,126.9805
N025,북쪽게이트,건물 입구,37.5692,126.978
